Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,Age,Pos,B,Team,League
Wakabayashi Akihiro,41,113,98,10,22,5,0,0,27,10,0,0,0,1,25,14,0,0,2,0.224,0.319,0.276,0.595,73,0.052,0.297,34.5%,22.1%,12.4%,0.56,-0.0,31,UTL,S,Nipponham Fighters,EL
Yamagata Shu,16,57,53,5,10,2,0,0,12,1,1,0,1,0,6,3,0,0,1,0.189,0.232,0.226,0.458,35,0.037,0.213,15.8%,10.5%,5.3%,0.50,0.2,23,6,R,Nipponham Fighters,EL
Yamaguchi Ataru,53,159,142,15,35,8,1,1,48,18,1,0,0,1,30,13,0,3,4,0.246,0.321,0.338,0.659,91,0.092,0.304,27.7%,18.9%,8.2%,0.43,0.1,26,7,R,Nipponham Fighters,EL
Yazawa Kota,7,23,21,4,9,1,2,0,14,2,2,2,0,0,4,2,0,0,0,0.429,0.478,0.667,1.145,224,0.238,0.529,26.1%,17.4%,8.7%,0.50,-0.3,24,8,L,Nipponham Fighters,EL
Yonamine Micah,42,115,107,5,21,6,0,3,36,12,0,0,0,3,36,5,0,0,3,0.196,0.226,0.336,0.562,63,0.140,0.254,38.3%,31.3%,4.3%,0.14,-0.0,24,3,R,Nipponham Fighters,EL
Yoshida Kengo,28,93,81,12,24,6,1,4,44,14,0,1,1,1,12,10,0,0,1,0.296,0.370,0.543,0.913,160,0.247,0.303,28.0%,12.9%,10.8%,0.83,-0.4,24,7,R,Nipponham Fighters,EL
Asai Reo,71,244,213,31,55,19,0,3,83,20,0,1,0,2,62,28,0,1,2,0.258,0.344,0.390,0.734,133,0.132,0.347,38.1%,25.4%,11.5%,0.45,-0.4,25,9,L,Oisix Albirex,EL
Banzai Tamon,14,16,14,0,1,0,0,0,1,0,0,0,0,0,5,2,0,0,1,0.071,0.188,0.071,0.259,-23,0.000,0.111,43.8%,31.2%,12.5%,0.40,-0.0,23,3,L,Oisix Albirex,EL
Chinen Taisei,103,422,395,58,118,15,5,9,170,59,5,9,0,4,44,20,0,3,2,0.299,0.334,0.430,0.764,142,0.131,0.315,17.3%,10.4%,4.7%,0.45,-2.3,25,8,L,Oisix Albirex,EL
Fujiwara Daichi,76,269,237,26,64,7,1,1,76,21,9,2,13,2,33,15,0,2,1,0.270,0.316,0.321,0.637,101,0.051,0.307,18.2%,12.3%,5.6%,0.45,0.8,25,6,S,Oisix Albirex,EL
Higa Tenyu,8,13,13,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0.231,0.231,0.231,0.462,43,0.000,0.250,7.7%,7.7%,0.0%,0.00,-0.0,24,9,L,Oisix Albirex,EL
Katano Yu,3,5,5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.200,0.200,0.200,0.400,23,0.000,0.250,20.0%,20.0%,0.0%,0.00,-0.0,20,2,R,Oisix Albirex,EL
Katayama Yu,40,98,81,6,13,2,0,0,15,5,0,0,7,2,23,7,0,1,0,0.160,0.231,0.185,0.416,28,0.025,0.217,30.6%,23.5%,7.1%,0.30,-0.0,26,2,R,Oisix Albirex,EL
Kishikawa Kazuhiro,25,65,54,7,16,1,0,0,17,1,0,2,3,0,8,6,0,2,2,0.296,0.387,0.315,0.702,123,0.019,0.348,21.5%,12.3%,9.2%,0.75,-0.7,18,6,L,Oisix Albirex,EL
Konishi Keiji,93,294,265,17,46,11,1,2,65,25,0,0,12,6,78,6,0,5,6,0.174,0.202,0.245,0.447,38,0.071,0.230,29.3%,26.5%,2.0%,0.08,-0.1,27,3,R,Oisix Albirex,EL
Nagasawa Renji,48,154,125,13,22,2,0,1,27,11,0,0,8,1,30,17,0,3,2,0.176,0.288,0.216,0.504,58,0.040,0.221,31.2%,19.5%,11.0%,0.57,-0.1,27,4,R,Oisix Albirex,EL
Nakayama Shota,65,198,173,14,43,9,2,2,62,26,0,0,0,2,43,20,0,3,5,0.249,0.333,0.358,0.691,119,0.109,0.315,32.8%,21.7%,10.1%,0.47,-0.1,28,DH,R,Oisix Albirex,EL
Nakazawa Hideaki,63,186,158,16,36,5,0,1,44,16,0,0,4,1,19,19,0,4,4,0.228,0.324,0.278,0.602,90,0.050,0.252,21.0%,10.2%,10.2%,1.00,-0.1,23,2,R,Oisix Albirex,EL
Okawa Yodai,95,397,368,40,103,22,4,6,151,50,0,0,0,0,74,26,0,3,13,0.280,0.332,0.410,0.742,135,0.130,0.337,26.7%,18.6%,6.5%,0.35,-0.1,25,7,R,Oisix Albirex,EL
Rodriguez Luis,12,38,37,0,8,1,0,0,9,1,0,0,0,0,10,1,0,0,0,0.216,0.237,0.243,0.480,49,0.027,0.296,28.9%,26.3%,2.6%,0.10,-0.0,22,3,R,Oisix Albirex,EL
Sakaguchi Daisuke,47,131,120,13,33,3,1,0,38,9,3,2,1,3,20,7,0,0,2,0.275,0.308,0.317,0.625,97,0.042,0.320,20.6%,15.3%,5.3%,0.35,-0.2,25,9,L,Oisix Albirex,EL
Sato Kei,18,44,40,1,9,1,0,0,10,1,1,0,3,0,8,1,0,0,3,0.225,0.244,0.250,0.494,54,0.025,0.281,20.5%,18.2%,2.3%,0.12,0.2,22,6,R,Oisix Albirex,EL
Shinoda Taisei,31,70,61,7,10,1,0,0,11,3,1,1,1,0,10,8,0,0,2,0.164,0.261,0.180,0.441,37,0.016,0.196,25.7%,14.3%,11.4%,0.80,-0.2,25,8,L,Oisix Albirex,EL
Sonobe Keita,87,332,304,32,85,9,2,1,101,28,4,0,2,1,52,18,0,7,6,0.280,0.333,0.332,0.665,110,0.052,0.333,21.4%,15.7%,5.4%,0.35,0.5,25,5,R,Oisix Albirex,EL
Taka Yoshihiro,26,46,36,10,7,1,1,1,13,2,4,2,5,0,6,5,0,0,1,0.194,0.293,0.361,0.654,106,0.167,0.207,26.1%,13.0%,10.9%,0.83,0.0,21,4,R,Oisix Albirex,EL
Takayama Shun,81,314,270,20,74,10,1,0,86,29,0,0,0,2,47,42,0,0,11,0.274,0.369,0.319,0.688,119,0.045,0.329,28.3%,15.0%,13.4%,0.89,-0.2,32,DH,L,Oisix Albirex,EL
Tanaka Shunta,44,149,122,12,26,5,0,0,31,6,4,2,9,2,24,16,0,0,2,0.213,0.300,0.254,0.554,74,0.041,0.260,26.8%,16.1%,10.7%,0.67,-0.0,31,4,L,Oisix Albirex,EL
Uehara Hiroki,25,41,41,3,10,1,1,0,13,1,0,2,0,0,8,0,0,0,1,0.244,0.244,0.317,0.561,75,0.073,0.303,19.5%,19.5%,0.0%,0.00,-0.7,23,9,L,Oisix Albirex,EL
Urushihara Genta,62,208,182,22,46,6,0,0,52,12,4,2,6,2,36,17,0,1,3,0.253,0.317,0.286,0.603,90,0.033,0.311,25.5%,17.3%,8.2%,0.47,-0.1,22,4,L,Oisix Albirex,EL
Yamada Ryusei,7,14,14,0,1,0,1,0,3,0,0,0,0,0,5,0,0,0,0,0.071,0.071,0.214,0.285,-17,0.143,0.111,35.7%,35.7%,0.0%,0.00,0.0,19,6,R,Oisix Albirex,EL
Yamada Sora,26,76,73,7,23,4,1,0,29,5,0,0,3,0,8,0,0,0,1,0.315,0.315,0.397,0.712,125,0.082,0.354,10.5%,10.5%,0.0%,0.00,-0.0,23,2,L,Oisix Albirex,EL
Yoh Daikan,38,122,108,11,21,4,0,2,31,4,0,0,0,1,35,13,0,0,3,0.194,0.279,0.287,0.566,77,0.093,0.264,41.0%,28.7%,10.7%,0.37,-0.0,38,DH,R,Oisix Albirex,EL
Eguchi Soichiro,10,17,16,3,1,1,0,0,2,0,0,0,0,0,6,0,0,1,1,0.063,0.118,0.125,0.243,-26,0.062,0.100,35.3%,35.3%,0.0%,0.00,-0.0,21,7,R,HAYATE Ventures,WL
Fukakusa Yuhya,60,185,159,15,38,8,0,0,46,14,0,0,4,2,22,14,1,6,2,0.239,0.320,0.289,0.609,80,0.050,0.273,19.5%,11.9%,7.6%,0.64,-0.1,23,2,R,HAYATE Ventures,WL
Fukatani Riki,55,170,153,11,39,4,0,0,43,9,0,0,1,1,23,15,0,0,3,0.255,0.320,0.281,0.601,78,0.026,0.298,22.4%,13.5%,8.8%,0.65,-0.1,25,2,L,HAYATE Ventures,WL
Hirao Shuto,69,219,198,10,36,5,1,1,46,12,0,2,6,0,47,12,0,3,2,0.182,0.239,0.232,0.471,40,0.050,0.233,27.4%,21.5%,5.5%,0.26,-0.7,22,9,L,HAYATE Ventures,WL
Inada Taiyo,25,14,12,4,3,0,0,0,3,1,0,0,0,0,7,1,0,1,0,0.250,0.357,0.250,0.607,80,0.000,0.600,57.1%,50.0%,7.1%,0.14,-0.0,19,2,R,HAYATE Ventures,WL
Jang Hyeon-Jin,26,75,64,2,10,5,0,0,15,4,0,0,2,1,23,7,0,1,1,0.156,0.247,0.234,0.481,43,0.078,0.238,40.0%,30.7%,9.3%,0.30,-0.0,21,UTL,L,HAYATE Ventures,WL
Kuramoto Toshihiko,98,383,354,22,101,11,2,0,116,34,2,0,0,3,50,21,0,5,10,0.285,0.332,0.328,0.660,94,0.043,0.329,18.5%,13.1%,5.5%,0.42,0.2,34,5,L,HAYATE Ventures,WL
Masuda Shoma,85,340,299,25,73,10,0,0,83,21,10,9,6,2,51,30,0,3,11,0.244,0.317,0.278,0.595,76,0.034,0.292,23.8%,15.0%,8.8%,0.59,-1.4,27,9,R,HAYATE Ventures,WL
Matsuda Kenshiro,56,142,130,12,22,3,1,1,30,9,1,1,3,1,44,5,0,3,4,0.169,0.216,0.231,0.447,33,0.062,0.244,35.2%,31.0%,3.5%,0.11,-0.2,25,UTL,R,HAYATE Ventures,WL
Matsumoto Jin,22,16,14,1,3,0,0,0,3,1,0,1,0,0,7,2,0,0,0,0.214,0.313,0.214,0.527,57,0.000,0.429,56.2%,43.8%,12.5%,0.29,-0.3,19,DH,L,HAYATE Ventures,WL
Nakamura Raiya,107,423,382,36,86,12,2,2,108,23,0,0,3,2,69,29,0,7,10,0.225,0.290,0.283,0.573,69,0.058,0.268,23.6%,16.3%,6.9%,0.42,-0.2,25,6,L,HAYATE Ventures,WL
Nishikawa Ryosuke,88,318,297,14,57,11,1,1,73,22,0,0,1,3,80,14,0,3,12,0.192,0.233,0.246,0.479,42,0.054,0.256,29.9%,25.2%,4.4%,0.17,-0.1,23,3,R,HAYATE Ventures,WL
Noguchi Taishi,42,129,114,8,24,2,1,0,28,5,0,0,0,1,27,13,0,1,6,0.211,0.295,0.246,0.541,61,0.035,0.273,31.0%,20.9%,10.1%,0.48,-0.1,24,2,R,HAYATE Ventures,WL
Shinohara Reo,99,376,335,23,74,14,0,0,88,21,10,10,14,2,76,19,0,6,4,0.221,0.273,0.263,0.536,59,0.042,0.284,25.3%,20.2%,5.1%,0.25,-1.7,24,8,R,HAYATE Ventures,WL
Shiozaki Eita,55,180,163,8,32,6,1,0,40,11,1,0,0,1,42,14,0,2,4,0.196,0.267,0.245,0.512,52,0.049,0.262,31.1%,23.3%,7.8%,0.33,0.1,23,DH,L,HAYATE Ventures,WL
Suzuki Shohei,96,393,358,27,96,12,3,1,117,24,8,3,2,4,36,28,0,1,6,0.268,0.320,0.327,0.647,90,0.059,0.292,16.5%,9.2%,7.1%,0.78,0.2,27,7,L,HAYATE Ventures,WL
Takahashi Shun,43,118,108,2,23,3,1,0,28,3,0,0,3,0,21,7,0,0,4,0.213,0.261,0.259,0.520,54,0.046,0.264,23.7%,17.8%,5.9%,0.33,-0.0,27,3,R,HAYATE Ventures,WL
Watsuji Daiki,104,375,350,31,83,4,3,1,96,18,4,2,5,1,38,17,1,2,4,0.237,0.276,0.274,0.550,63,0.037,0.263,14.9%,10.1%,4.5%,0.45,-0.1,25,4,L,HAYATE Ventures,WL
